timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1548439399778,-0.720459,0.557739,-0.263367,12.621951,-11.036586,6.341464
1548439399786,-0.714355,0.562988,-0.260681,14.756098,-10.548780,5.975610
1548439399800,-0.695251,0.568970,-0.255310,16.341463,-10.365854,5.060976
1548439399808,-0.678833,0.570679,-0.245239,17.439024,-9.817074,4.024390
1548439399815,-0.671570,0.564758,-0.241699,19.390244,-9.939025,2.560976
1548439399830,-0.654968,0.561035,-0.244202,21.646341,-9.634147,0.731707
1548439399838,-0.643005,0.559631,-0.255676,22.987806,-9.146341,-1.036585
1548439399845,-0.645935,0.555054,-0.265015,23.658537,-9.268292,-2.621951
1548439399861,-0.640137,0.549377,-0.258911,23.536587,-9.451220,-4.207317
1548439399868,-0.638977,0.547424,-0.253662,22.256098,-9.207317,-5.914634
1548439399875,-0.638367,0.548523,-0.242126,20.060976,-8.719512,-7.500000
1548439399890,-0.629028,0.536499,-0.232483,17.987804,-7.804878,-9.512196
1548439399898,-0.628540,0.528564,-0.227478,17.012196,-6.707317,-11.585366
1548439399906,-0.628540,0.531494,-0.234131,16.585365,-5.304878,-13.780488
1548439399921,-0.629700,0.528992,-0.239502,17.073172,-4.329268,-16.402439
1548439399928,-0.633179,0.521667,-0.242249,19.329269,-3.658537,-19.085367
1548439399935,-0.642944,0.510925,-0.247253,23.048780,-2.987805,-21.524391
1548439399950,-0.633850,0.489807,-0.246277,27.134148,-2.378049,-23.902439
1548439399958,-0.623169,0.471069,-0.244690,31.219513,-1.707317,-25.975611
1548439399965,-0.629700,0.452454,-0.242554,34.573170,-1.463415,-27.926830
1548439399980,-0.642883,0.441223,-0.244690,36.646343,-0.914634,-29.817074
1548439399988,-0.651550,0.432861,-0.258728,38.780487,0.000000,-31.585367
1548439399995,-0.659424,0.426453,-0.269836,39.390244,0.731707,-33.414635
1548439400011,-0.669189,0.418396,-0.279846,39.085365,1.829268,-35.609756
1548439400018,-0.669434,0.416382,-0.278259,39.451221,2.560976,-38.109756
1548439400025,-0.673218,0.402771,-0.283142,41.097561,2.865854,-40.792683
1548439400040,-0.667847,0.381409,-0.272827,43.963417,3.353659,-43.414635
1548439400048,-0.653687,0.383545,-0.253662,47.560978,4.390244,-45.975613
1548439400056,-0.674866,0.396545,-0.252930,52.926830,5.243903,-48.963417
1548439400071,-0.715759,0.387939,-0.276062,60.914635,6.158537,-51.768295
1548439400078,-0.731812,0.346863,-0.291992,70.975609,8.292683,-53.536587
1548439400085,-0.750366,0.310120,-0.303833,78.109756,10.182927,-55.000000
1548439400100,-0.767578,0.289551,-0.331665,77.926834,11.219512,-56.524391
1548439400108,-0.770325,0.272461,-0.355835,73.292686,12.378049,-57.804878
1548439400115,-0.768860,0.260498,-0.378296,68.597565,13.536586,-59.268295
1548439400131,-0.782837,0.242371,-0.399475,64.085365,14.512196,-60.792683
1548439400138,-0.797668,0.221313,-0.423218,60.853661,14.878049,-62.560978
1548439400145,-0.813049,0.248718,-0.444946,58.536587,15.243903,-64.146339
1548439400160,-0.835571,0.258972,-0.461426,56.463417,15.243903,-65.487808
1548439400168,-0.847046,0.209290,-0.460754,57.378052,14.634147,-67.804878
1548439400175,-0.847656,0.177795,-0.451111,61.768295,13.841464,-69.390244
1548439400190,-0.841675,0.154419,-0.452881,66.402443,13.231708,-70.182930
1548439400198,-0.831299,0.119080,-0.476135,68.841469,12.439025,-71.341469
1548439400206,-0.813110,0.104980,-0.496521,70.426834,11.890244,-72.987808
1548439400220,-0.794617,0.110168,-0.504089,70.731712,11.219512,-75.060974
1548439400228,-0.806213,0.119873,-0.497192,71.158539,9.939025,-77.743904
1548439400235,-0.833252,0.090210,-0.463318,74.573174,8.658537,-81.097565
1548439400251,-0.850403,0.050049,-0.413269,81.646347,8.170732,-84.451225
1548439400258,-0.883728,0.006775,-0.367920,88.231712,8.231708,-86.585365
1548439400266,-0.911377,-0.042358,-0.369629,94.634148,10.060976,-87.560974
1548439400280,-0.934387,-0.067566,-0.434753,101.219513,13.536586,-87.195122
1548439400288,-0.959656,-0.083740,-0.510986,101.585365,17.012196,-85.731712
1548439400296,-0.966370,-0.096069,-0.590210,97.012199,21.951220,-85.365852
1548439400311,-0.941284,-0.073730,-0.603516,91.036591,25.121952,-84.634148
