timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1548438755723,-0.056396,-0.006348,-0.999146,4.390244,-1.158537,-0.304878
1548438755723,-0.061218,-0.013672,-1.007141,4.695122,-1.219512,-0.731707
1548438755729,-0.064880,-0.017639,-1.009766,3.231707,-0.975610,-1.280488
1548438755736,-0.061768,-0.009888,-1.006592,2.743902,-0.548781,-0.731707
1548438755743,-0.064880,-0.008484,-1.007690,1.951220,-0.365854,-0.060976
1548438755758,-0.065063,-0.012268,-1.015015,-0.975610,0.487805,-0.487805
1548438755766,-0.064636,-0.014954,-1.012146,-0.792683,0.853659,-0.975610
1548438755773,-0.064087,-0.016541,-1.012817,1.768293,0.365854,-0.426829
1548438755789,-0.061890,-0.014832,-1.011230,2.987805,0.365854,-0.304878
1548438755796,-0.057800,-0.013733,-1.005493,3.658537,1.097561,-0.914634
1548438755809,-0.058228,-0.013184,-1.001099,4.512195,1.097561,-1.219512
1548438755821,-0.057129,-0.016907,-1.007141,3.658537,0.426829,-1.036585
1548438755845,-0.059814,-0.015381,-1.010986,2.073171,-0.121951,-1.402439
1548438755845,-0.062134,-0.019531,-1.002747,1.890244,-0.548781,-1.463415
1548438755852,-0.061768,-0.022644,-1.003784,0.914634,-0.670732,-1.646341
1548438755856,-0.064941,-0.020569,-1.010071,-2.256098,-0.365854,-1.097561
1548438755863,-0.062622,-0.019226,-1.009338,-3.414634,-0.792683,-0.792683
1548438755879,-0.057495,-0.014160,-1.004333,-2.378049,-1.463415,0.000000
1548438755903,-0.059326,-0.006287,-0.999084,-1.280488,-1.585366,0.487805
1548438755903,-0.062012,-0.005127,-0.997864,-2.317073,-1.402439,0.426829
1548438755915,-0.063782,-0.007690,-1.012512,-5.853659,-1.524390,0.243902
1548438755917,-0.065002,-0.009827,-1.011658,-7.134147,-1.524390,0.121951
1548438755923,-0.063904,-0.008179,-1.009583,-5.304878,-2.012195,-0.243902
1548438755945,-0.065796,-0.011475,-1.010071,-5.792683,-1.707317,-0.975610
1548438755947,-0.067200,-0.009644,-1.013184,-7.012195,-0.975610,-1.524390
1548438755953,-0.065125,-0.009644,-1.011597,-6.829268,-0.914634,-1.341463
1548438755968,-0.062134,-0.005127,-1.011353,-5.304878,-1.585366,-0.853659
1548438755976,-0.062378,-0.005615,-1.008789,-3.475610,-1.890244,0.182927
1548438755984,-0.061462,-0.003357,-1.002686,-3.231707,-2.560976,1.951220
1548438755998,-0.061951,-0.008240,-1.008301,-3.109756,-3.231707,2.317073
1548438756005,-0.062134,-0.015198,-1.013062,-4.695122,-4.146341,2.439024
1548438756013,-0.063965,-0.014648,-1.014343,-5.365854,-4.512195,2.804878
1548438756028,-0.062561,-0.017151,-1.014038,-4.756098,-3.109756,2.987805
1548438756036,-0.059387,-0.014587,-1.006836,-4.268293,-2.621951,3.231707
1548438756043,-0.060181,0.002441,-1.018799,-2.012195,-2.560976,3.109756
1548438756058,-0.053589,-0.008728,-1.007080,-1.707317,-1.585366,2.621951
1548438756066,-0.056519,0.002747,-1.002930,-0.426829,-0.731707,2.439024
1548438756073,-0.055847,0.008118,-1.005859,2.682927,0.426829,5.487805
1548438756088,-0.057190,0.013062,-1.005310,2.195122,-0.853659,4.573171
1548438756096,-0.060547,0.004211,-0.998901,-0.731707,-1.341463,3.292683
1548438756103,-0.068420,-0.001709,-0.998840,-3.536585,-0.792683,1.463415
1548438756118,-0.067932,-0.003235,-1.008179,-4.878049,-0.731707,-0.121951
1548438756125,-0.066650,-0.003601,-1.014709,-6.036585,-1.158537,-0.609756
1548438756133,-0.063599,-0.007263,-1.015625,-6.707317,-1.951220,0.182927
1548438756149,-0.060120,0.003296,-1.010071,-5.426829,-2.134146,1.036585
1548438756159,-0.057739,0.008911,-1.006348,-2.195122,-1.890244,1.463415
