timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1548436000634,-0.210022,-0.980774,-0.191101,5.609756,-1.463415,-0.487805
1548436000649,-0.210571,-0.984741,-0.190552,5.426829,-1.158537,-0.731707
1548436000656,-0.206177,-0.984680,-0.187256,5.304878,-0.914634,-0.548781
1548436000664,-0.206604,-0.988525,-0.184753,5.000000,-0.914634,-0.060976
1548436000679,-0.207703,-0.995667,-0.179260,4.512195,-0.975610,0.243902
1548436000686,-0.210815,-0.994019,-0.177124,3.231707,-0.853659,0.853659
1548436000694,-0.213562,-0.986633,-0.179504,1.341463,-0.487805,1.524390
1548436000709,-0.214172,-0.983765,-0.189087,-0.365854,0.243902,2.073171
1548436000716,-0.213989,-0.984558,-0.196777,-1.768293,0.182927,1.829268
1548436000724,-0.211670,-0.975891,-0.203308,-2.378049,-0.426829,1.463415
1548436000739,-0.209656,-0.964172,-0.207031,-2.073171,-0.609756,1.219512
1548436000746,-0.212158,-0.970825,-0.194397,-0.182927,-1.402439,0.975610
1548436000754,-0.214172,-0.981445,-0.188843,2.621951,-1.829268,1.158537
1548436000769,-0.216919,-0.971313,-0.180237,2.926829,-2.378049,0.914634
1548436000776,-0.216553,-0.979492,-0.173218,3.048780,-2.317073,0.487805
1548436000784,-0.219177,-0.985474,-0.181152,3.414634,-1.463415,0.670732
1548436000799,-0.214661,-0.976013,-0.198486,3.048780,-0.853659,0.670732
1548436000806,-0.208374,-0.971436,-0.207336,3.170732,-0.426829,0.182927
1548436000814,-0.205627,-0.975830,-0.192932,5.121951,-0.609756,-0.365854
1548436000829,-0.210510,-0.984924,-0.163757,7.621952,-0.975610,0.121951
1548436000836,-0.219360,-0.993469,-0.156677,8.048780,-1.097561,1.036585
1548436000844,-0.220398,-0.998901,-0.163818,5.670732,-1.219512,1.097561
1548436000859,-0.215454,-0.989685,-0.189514,1.707317,-0.670732,0.548781
1548436000866,-0.219238,-0.968628,-0.193237,-1.646341,-0.243902,0.182927
1548436000874,-0.210022,-0.974976,-0.182190,-1.280488,0.182927,0.182927
1548436000889,-0.211304,-0.994324,-0.174438,0.609756,0.670732,0.060976
1548436000896,-0.211670,-0.994202,-0.176514,0.365854,0.182927,-0.121951
1548436000904,-0.212097,-0.980713,-0.178894,-1.341463,0.792683,0.243902
1548436000919,-0.214111,-0.979248,-0.184814,-2.804878,1.036585,0.487805
1548436000926,-0.212769,-0.981201,-0.193176,-3.292683,0.731707,0.365854
1548436000934,-0.209412,-0.981628,-0.192810,-2.987805,0.548781,0.365854
1548436000949,-0.213440,-0.982361,-0.196594,-2.378049,0.304878,0.609756
1548436000956,-0.213379,-0.978638,-0.197205,-1.768293,-0.121951,0.548781
1548436000964,-0.207520,-0.976501,-0.193726,-0.914634,-0.548781,0.487805
1548436000979,-0.211609,-0.973755,-0.193054,0.000000,-0.914634,0.487805
1548436000986,-0.215515,-0.976746,-0.184570,0.914634,-1.524390,0.670732
1548436000994,-0.215576,-0.986572,-0.184387,2.012195,-1.524390,0.670732
1548436001009,-0.215088,-0.986572,-0.184875,2.134146,-1.280488,0.609756
1548436001016,-0.215088,-0.985535,-0.186829,1.768293,-1.158537,0.426829
1548436001024,-0.213379,-0.985779,-0.189331,1.402439,-0.914634,0.548781
1548436001039,-0.213806,-0.978760,-0.186768,1.036585,-0.731707,0.853659
1548436001046,-0.214233,-0.982056,-0.180542,1.097561,-0.792683,1.036585
1548436001054,-0.216187,-0.983765,-0.174011,1.219512,-0.609756,1.097561
1548436001069,-0.218384,-0.984863,-0.177185,0.609756,-0.426829,1.219512
1548436001076,-0.214172,-0.983704,-0.185364,-0.670732,-0.121951,0.975610
1548436001084,-0.213501,-0.982178,-0.188477,-1.829268,0.121951,0.548781
1548436001099,-0.216309,-0.980713,-0.190491,-2.378049,-0.060976,0.426829
1548436001106,-0.217407,-0.976929,-0.189880,-2.195122,-0.426829,0.426829
1548436001114,-0.210876,-0.973022,-0.189758,-1.707317,-0.121951,0.304878
1548436001129,-0.211792,-0.973938,-0.192017,-1.341463,-0.182927,-0.121951
1548436001136,-0.213684,-0.980530,-0.191223,-0.609756,-0.609756,-0.182927
1548436001144,-0.213135,-0.979675,-0.192017,-0.121951,-0.548781,-0.060976
1548436001159,-0.211670,-0.978943,-0.189453,0.243902,-0.670732,-0.121951
1548436001166,-0.212708,-0.982605,-0.189941,0.609756,-0.914634,-0.121951
1548436001174,-0.213440,-0.984802,-0.187012,1.219512,-0.975610,0.182927
1548436001189,-0.213806,-0.982971,-0.188538,1.524390,-1.036585,0.304878
1548436001196,-0.212585,-0.981873,-0.189270,1.280488,-1.097561,0.365854
1548436001204,-0.213074,-0.983093,-0.186401,0.975610,-1.219512,0.487805
1548436001219,-0.211060,-0.981934,-0.184326,0.975610,-1.341463,0.670732
1548436001226,-0.216614,-0.982788,-0.182434,0.792683,-1.036585,1.036585
1548436001234,-0.221741,-0.984436,-0.184692,0.365854,-1.097561,1.402439
1548436001249,-0.217224,-0.976135,-0.188477,-0.243902,-0.670732,1.463415
1548436001256,-0.214600,-0.973999,-0.192810,-0.609756,-0.182927,1.158537
1548436001264,-0.216431,-0.977600,-0.192078,0.060976,-0.304878,0.975610
1548436001279,-0.212280,-0.977234,-0.190735,1.036585,-0.609756,0.792683
1548436001286,-0.211365,-0.973328,-0.194458,1.463415,-0.975610,0.426829
1548436001294,-0.213989,-0.979919,-0.196228,2.073171,-1.707317,0.000000
1548436001309,-0.216309,-0.981812,-0.186584,3.048780,-2.195122,0.243902
1548436001316,-0.215942,-0.980164,-0.183105,4.024390,-2.012195,0.365854
1548436001324,-0.217224,-0.985352,-0.183105,4.207317,-1.951220,0.304878
1548436001339,-0.215332,-0.985046,-0.182312,4.085366,-1.829268,0.182927
1548436001346,-0.211914,-0.983276,-0.178040,3.963415,-1.341463,0.243902
1548436001354,-0.215637,-0.981812,-0.172668,3.658537,-1.280488,0.304878
1548436001369,-0.213135,-0.996643,-0.173523,3.048780,-1.036585,0.670732
1548436001376,-0.215088,-0.998718,-0.181152,1.646341,-0.609756,0.853659
1548436001384,-0.214233,-0.983215,-0.182922,-0.487805,-0.304878,1.036585
1548436001399,-0.212952,-0.977722,-0.184082,-1.463415,0.060976,1.402439
1548436001406,-0.212524,-0.975220,-0.186279,-1.402439,-0.121951,1.646341
1548436001414,-0.212891,-0.978699,-0.178650,-0.060976,-0.304878,1.158537
1548436001429,-0.217346,-0.986023,-0.176086,1.951220,-0.609756,0.121951
1548436001436,-0.220215,-0.981018,-0.177612,1.524390,-0.914634,0.060976
1548436001444,-0.226379,-0.972534,-0.182678,-0.243902,-0.731707,0.426829
1548436001459,-0.224304,-0.975464,-0.192200,-1.158537,-0.609756,0.426829
1548436001466,-0.218933,-0.977173,-0.196411,-0.548781,-0.426829,-0.609756
1548436001474,-0.215393,-0.973694,-0.192322,0.365854,-0.243902,-1.280488
1548436001489,-0.213501,-0.979248,-0.186462,1.707317,-0.304878,-1.341463
1548436001496,-0.211670,-0.987183,-0.177917,2.560976,-0.609756,-1.341463
1548436001504,-0.210632,-0.990906,-0.175964,2.682927,-0.792683,-1.280488
1548436001519,-0.209534,-0.987793,-0.179016,1.768293,-0.792683,-1.036585
1548436001526,-0.209534,-0.983276,-0.182739,0.731707,-0.731707,-0.731707
1548436001534,-0.210938,-0.976013,-0.192993,0.182927,-1.036585,-0.548781
1548436001549,-0.214172,-0.970276,-0.189941,0.243902,-1.707317,-0.609756
1548436001556,-0.213196,-0.975403,-0.192078,1.646341,-2.317073,-0.792683
1548436001564,-0.220398,-0.987976,-0.183105,3.414634,-2.682927,-0.792683
