timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1548437347904,-0.169495,-0.960388,0.287964,0.060976,-0.731707,0.365854
1548437347919,-0.171204,-0.966980,0.288757,0.182927,-0.731707,0.426829
1548437347927,-0.171021,-0.963989,0.287964,0.243902,-0.731707,0.365854
1548437347934,-0.171448,-0.962463,0.285645,0.182927,-0.792683,0.365854
1548437347957,-0.171875,-0.962891,0.285400,0.182927,-0.792683,0.304878
1548437347957,-0.172913,-0.963440,0.285461,0.304878,-0.670732,0.304878
1548437347964,-0.172363,-0.962463,0.286865,0.182927,-0.609756,0.243902
1548437347979,-0.170593,-0.963928,0.285217,0.243902,-0.670732,0.121951
1548437347987,-0.170044,-0.964478,0.286621,0.304878,-0.792683,0.060976
1548437347994,-0.168396,-0.965454,0.286621,0.304878,-0.792683,0.060976
1548437348009,-0.171814,-0.967407,0.285645,0.426829,-0.670732,0.182927
1548437348017,-0.169800,-0.966187,0.285828,0.670732,-0.670732,0.121951
1548437348024,-0.169800,-0.967224,0.287109,0.487805,-0.609756,0.060976
1548437348039,-0.170715,-0.966492,0.286560,0.426829,-0.609756,0.182927
1548437348047,-0.171875,-0.966187,0.288879,0.426829,-0.548781,0.243902
1548437348054,-0.168945,-0.965027,0.287720,0.487805,-0.609756,0.304878
1548437348069,-0.169678,-0.967102,0.286621,0.487805,-0.670732,0.304878
1548437348077,-0.168762,-0.967896,0.287231,0.548781,-0.670732,0.243902
1548437348084,-0.170227,-0.965637,0.287109,0.365854,-0.731707,0.243902
1548437348099,-0.169495,-0.967590,0.287415,0.426829,-0.609756,0.243902
1548437348107,-0.169128,-0.967896,0.291199,0.304878,-0.731707,0.243902
1548437348114,-0.171509,-0.968445,0.288940,0.243902,-0.670732,0.182927
1548437348129,-0.170532,-0.968140,0.288574,0.243902,-0.731707,0.182927
1548437348137,-0.170227,-0.970215,0.289490,0.304878,-0.731707,0.243902
1548437348144,-0.173096,-0.969543,0.291199,0.182927,-0.670732,0.243902
1548437348159,-0.170654,-0.965942,0.287476,0.182927,-0.731707,0.304878
1548437348167,-0.170471,-0.963989,0.286011,0.182927,-0.731707,0.304878
1548437348174,-0.171936,-0.964966,0.287781,0.121951,-0.609756,0.304878
1548437348189,-0.172607,-0.964111,0.287292,0.243902,-0.548781,0.304878
1548437348197,-0.174866,-0.962891,0.285156,0.304878,-0.548781,0.365854
1548437348204,-0.171753,-0.963013,0.284119,0.304878,-0.609756,0.304878
1548437348219,-0.172852,-0.963501,0.286682,0.304878,-0.609756,0.243902
1548437348227,-0.171692,-0.964783,0.287659,0.304878,-0.670732,0.304878
1548437348234,-0.172852,-0.963074,0.287170,0.243902,-0.609756,0.243902
1548437348257,-0.170959,-0.965210,0.286255,0.365854,-0.609756,0.182927
1548437348257,-0.170593,-0.967407,0.283875,0.365854,-0.670732,0.000000
1548437348264,-0.169678,-0.967163,0.288818,0.487805,-0.609756,0.060976
1548437348279,-0.169861,-0.965820,0.288513,0.487805,-0.609756,0.121951
1548437348287,-0.169556,-0.964844,0.289062,0.426829,-0.670732,0.000000
1548437348294,-0.170959,-0.966797,0.287537,0.426829,-0.792683,0.000000
1548437348309,-0.171692,-0.968933,0.287598,0.487805,-0.792683,0.060976
1548437348324,-0.171204,-0.968323,0.288025,0.487805,-0.731707,0.121951
1548437348325,-0.170837,-0.967896,0.286377,0.304878,-0.670732,0.182927
1548437348339,-0.171143,-0.967957,0.287720,0.243902,-0.670732,0.182927
