timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1548455754891,0.072693,-0.876099,0.497986,-0.060976,-1.158537,0.304878
1548455754892,0.074219,-0.886658,0.507141,0.182927,-0.975610,0.304878
1548455754892,0.075562,-0.884033,0.504150,0.487805,-0.914634,0.304878
1548455754892,0.072571,-0.882996,0.505432,0.487805,-1.158537,0.304878
1548455754905,0.070862,-0.881775,0.504639,0.487805,-1.158537,0.365854
1548455754924,0.071350,-0.881958,0.503601,0.426829,-1.158537,0.304878
1548455754924,0.071960,-0.883179,0.502808,0.365854,-1.036585,0.365854
1548455754934,0.072571,-0.885376,0.503296,0.304878,-0.670732,0.304878
1548455754938,0.073608,-0.886597,0.501221,0.365854,-0.609756,0.243902
1548455754946,0.072937,-0.888977,0.501953,0.243902,-0.731707,0.121951
1548455754983,0.073425,-0.889038,0.499756,0.121951,-0.731707,0.121951
1548455754984,0.071594,-0.887024,0.500671,-0.060976,-0.853659,0.182927
1548455754984,0.072021,-0.883667,0.499634,-0.304878,-0.792683,0.182927
1548455754991,0.071594,-0.882812,0.497742,-0.182927,-0.670732,0.000000
1548455754998,0.075195,-0.883057,0.499878,0.121951,-0.609756,-0.060976
1548455755006,0.077332,-0.882874,0.500916,0.487805,-0.548781,0.060976
1548455755043,0.076233,-0.883789,0.499634,0.792683,-0.548781,0.121951
1548455755043,0.075684,-0.888062,0.503601,0.975610,-0.609756,0.000000
1548455755043,0.077454,-0.892395,0.505798,1.097561,-0.670732,0.121951
1548455755051,0.075989,-0.890747,0.501465,0.792683,-0.731707,0.000000
1548455755058,0.076965,-0.889465,0.499451,0.243902,-0.670732,0.182927
1548455755066,0.072021,-0.886292,0.498474,-0.243902,-0.731707,0.243902
1548455755081,0.070312,-0.882935,0.498230,-0.487805,-0.914634,0.365854
1548455755088,0.070679,-0.881531,0.498779,-0.426829,-0.975610,0.243902
1548455755096,0.071716,-0.881042,0.499573,0.000000,-0.731707,0.121951
1548455755111,0.075195,-0.886902,0.499329,0.487805,-0.609756,0.060976
1548455755118,0.079468,-0.890625,0.499817,1.097561,-0.426829,0.000000
1548455755126,0.080811,-0.889221,0.502991,1.280488,-0.487805,0.182927
1548455755149,0.079163,-0.886475,0.505188,1.280488,-0.792683,0.548781
1548455755149,0.075928,-0.888306,0.503845,0.914634,-1.280488,0.914634
1548455755155,0.072083,-0.891052,0.503418,0.609756,-1.524390,1.097561
1548455755171,0.072632,-0.893982,0.505371,0.365854,-1.158537,0.792683
1548455755178,0.074341,-0.892456,0.505310,-0.121951,-0.670732,0.609756
1548455755193,0.073792,-0.888245,0.501526,-0.975610,-0.487805,0.792683
1548455755201,0.071838,-0.884827,0.502747,-1.585366,-0.487805,0.975610
1548455755208,0.071777,-0.884827,0.501282,-1.707317,-0.609756,1.036585
1548455755216,0.071777,-0.885437,0.497864,-1.402439,-0.609756,0.914634
1548455755231,0.073730,-0.886963,0.499451,-1.097561,-0.487805,0.853659
1548455755253,0.077637,-0.883728,0.499329,-0.914634,-0.365854,1.036585
1548455755254,0.079346,-0.884399,0.499695,-0.914634,-0.426829,1.341463
1548455755261,0.078064,-0.885620,0.499634,-0.792683,-0.853659,1.707317
1548455755268,0.074402,-0.887756,0.500732,-0.609756,-1.280488,1.890244
1548455755276,0.069214,-0.889282,0.503601,-0.670732,-1.524390,2.073171
1548455755291,0.066162,-0.890991,0.503235,-0.853659,-1.158537,2.012195
1548455755315,0.068054,-0.891479,0.504700,-0.914634,-0.426829,2.012195
1548455755316,0.070679,-0.888550,0.506042,-1.097561,0.060976,2.012195
1548455755322,0.074158,-0.889893,0.502502,-1.402439,0.060976,1.768293
1548455755328,0.073853,-0.889160,0.501099,-1.768293,-0.182927,1.585366
1548455755336,0.072144,-0.892029,0.500854,-2.378049,-0.609756,1.463415
1548455755365,0.069702,-0.894104,0.498474,-2.560976,-0.792683,1.646341
1548455755366,0.067017,-0.898254,0.500610,-2.621951,-0.914634,1.768293
1548455755373,0.067993,-0.896545,0.501099,-2.987805,-0.731707,2.012195
1548455755381,0.068481,-0.892578,0.497070,-3.536585,-0.304878,2.073171
1548455755388,0.068298,-0.893311,0.494507,-4.329268,-0.243902,2.134146
1548455755396,0.065491,-0.894531,0.495728,-4.817073,-0.243902,2.256098
1548455755426,0.065308,-0.894470,0.497498,-4.817073,-0.182927,2.317073
1548455755426,0.067627,-0.895386,0.496643,-4.695122,0.060976,2.256098
1548455755427,0.067871,-0.897034,0.493958,-4.573171,0.365854,2.439024
1548455755441,0.068909,-0.898926,0.491516,-4.695122,0.304878,2.439024
1548455755448,0.067688,-0.898499,0.491455,-5.000000,0.304878,2.439024
1548455755466,0.066650,-0.899963,0.489990,-5.304878,0.121951,2.926829
1548455755482,0.066711,-0.902710,0.491577,-5.670732,0.060976,3.536585
1548455755483,0.064087,-0.902893,0.489319,-5.914634,0.121951,4.085366
1548455755486,0.060364,-0.902344,0.490112,-6.585366,0.182927,4.329268
1548455755501,0.062622,-0.902954,0.487549,-7.621952,0.182927,4.573171
1548455755508,0.062683,-0.900574,0.481567,-8.292683,0.731707,5.243903
1548455755538,0.062988,-0.901855,0.481567,-8.048780,1.219512,5.975610
1548455755539,0.061768,-0.902649,0.482422,-8.597561,1.219512,6.463415
1548455755539,0.057129,-0.899170,0.477417,-8.597561,0.914634,6.524390
1548455755547,0.055603,-0.898438,0.474548,-8.048780,0.426829,6.829268
