timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1548455936807,0.267578,-0.926453,0.265320,0.426829,-0.487805,0.609756
1548455936814,0.264832,-0.936707,0.269226,0.609756,-0.670732,0.548781
1548455936829,0.266357,-0.935181,0.267395,0.792683,-0.731707,0.365854
1548455936837,0.267517,-0.934509,0.265991,0.853659,-0.670732,0.243902
1548455936844,0.267700,-0.936157,0.263611,0.731707,-0.487805,0.060976
1548455936874,0.268250,-0.936707,0.265076,0.365854,-0.426829,0.000000
1548455936875,0.268555,-0.935486,0.266785,0.000000,-0.487805,-0.060976
1548455936875,0.268616,-0.936157,0.264404,-0.121951,-0.548781,0.060976
1548455936912,0.270264,-0.936157,0.264587,-0.243902,-0.487805,0.182927
1548455936912,0.273376,-0.936096,0.265869,-0.060976,-0.487805,0.121951
1548455936913,0.272766,-0.937500,0.268250,0.182927,-0.487805,0.060976
1548455936919,0.276184,-0.938110,0.269531,0.426829,-0.548781,0.121951
1548455936927,0.275574,-0.939514,0.270447,0.609756,-0.548781,0.121951
1548455936934,0.273132,-0.939270,0.267212,0.670732,-0.792683,0.182927
1548455936957,0.270386,-0.936401,0.267212,0.487805,-0.914634,0.365854
1548455936958,0.271973,-0.936523,0.266418,0.365854,-0.914634,0.548781
1548455936964,0.270630,-0.938049,0.263611,0.182927,-0.792683,0.609756
1548455936980,0.270325,-0.934204,0.263123,0.182927,-0.792683,0.731707
1548455936987,0.271606,-0.931946,0.264160,0.243902,-0.853659,0.609756
1548455937017,0.268738,-0.932129,0.264954,0.243902,-0.853659,0.548781
1548455937017,0.266907,-0.935486,0.261719,0.365854,-0.792683,0.609756
1548455937018,0.266235,-0.936096,0.263428,0.548781,-0.792683,0.548781
1548455937024,0.266541,-0.936340,0.266602,0.731707,-0.792683,0.426829
1548455937047,0.269348,-0.937195,0.268738,0.731707,-0.731707,0.304878
1548455937050,0.270447,-0.939026,0.266846,0.365854,-0.792683,0.121951
1548455937084,0.268860,-0.939026,0.266541,0.060976,-0.853659,0.060976
1548455937085,0.268982,-0.936340,0.264832,0.000000,-0.914634,0.000000
1548455937086,0.268188,-0.934082,0.264404,0.121951,-0.914634,0.121951
1548455937092,0.268311,-0.935364,0.267517,0.243902,-0.975610,0.243902
1548455937107,0.267700,-0.936340,0.266724,0.365854,-0.853659,0.365854
1548455937107,0.268494,-0.936035,0.264282,0.426829,-0.731707,0.670732
1548455937114,0.266602,-0.936218,0.264771,0.365854,-0.670732,0.670732
1548455937129,0.268188,-0.934814,0.265503,0.365854,-0.609756,0.426829
1548455937137,0.269287,-0.936340,0.265686,0.426829,-0.670732,0.304878
1548455937152,0.271362,-0.938965,0.266541,0.426829,-0.731707,0.304878
1548455937174,0.270203,-0.938171,0.267578,0.304878,-0.853659,0.182927
1548455937175,0.268433,-0.935852,0.268066,0.121951,-0.731707,0.243902
1548455937175,0.269775,-0.935242,0.268250,0.000000,-0.670732,0.243902
1548455937189,0.269104,-0.934265,0.267517,0.060976,-0.609756,0.243902
1548455937197,0.272400,-0.935181,0.269226,0.243902,-0.548781,0.304878
1548455937212,0.273621,-0.930603,0.270935,0.365854,-0.609756,0.304878
1548455937219,0.272888,-0.929016,0.266846,0.609756,-0.365854,0.182927
1548455937227,0.273132,-0.934326,0.265381,1.280488,0.000000,0.304878
1548455937264,0.271667,-0.934326,0.262268,2.073171,0.365854,0.487805
1548455937272,0.274231,-0.936218,0.267334,2.743902,0.731707,0.548781
1548455937272,0.276733,-0.944885,0.269897,3.231707,0.914634,0.731707
1548455937279,0.277954,-0.950989,0.270691,3.780488,1.036585,0.914634
1548455937280,0.278687,-0.951355,0.271545,3.841464,1.036585,1.524390
1548455937287,0.276428,-0.950378,0.275818,3.292683,0.975610,2.195122
1548455937295,0.273071,-0.943726,0.278687,1.341463,0.731707,2.987805
1548455937309,0.269775,-0.938232,0.278442,-0.792683,0.182927,3.719512
1548455937317,0.261292,-0.941895,0.281311,-1.463415,-0.243902,4.512195
1548455937324,0.254272,-0.946716,0.287537,-1.219512,-0.243902,5.121951
1548455937347,0.256592,-0.946289,0.284485,-1.036585,0.121951,5.731708
1548455937348,0.263794,-0.939453,0.278198,-1.707317,1.219512,6.097561
1548455937369,0.266052,-0.932251,0.273560,-2.195122,1.951220,5.975610
1548455937370,0.261780,-0.932678,0.270874,-1.585366,2.134146,5.548780
1548455937384,0.257812,-0.932800,0.266663,-0.121951,1.829268,5.609756
1548455937385,0.255493,-0.930481,0.261536,1.463415,1.646341,5.609756
1548455937399,0.250854,-0.935852,0.263550,2.378049,2.012195,5.304878
1548455937407,0.251892,-0.937439,0.263062,2.682927,2.256098,4.634146
1548455937414,0.258667,-0.937317,0.261475,2.865854,2.560976,3.902439
1548455937430,0.267029,-0.942505,0.262085,2.256098,2.500000,3.292683
1548455937437,0.268738,-0.948547,0.260925,1.097561,2.012195,3.048780
1548455937452,0.260742,-0.947754,0.251831,0.000000,1.219512,3.170732
1548455937474,0.247437,-0.950256,0.235046,-0.731707,0.853659,3.719512
1548455937475,0.239807,-0.963135,0.226379,-1.646341,1.219512,4.634146
1548455937475,0.235291,-0.974792,0.233398,-2.804878,1.951220,5.548780
1548455937490,0.237305,-0.968750,0.243958,-4.268293,2.560976,6.036585
1548455937497,0.242126,-0.955933,0.256104,-5.304878,2.682927,5.853659
1548455937504,0.244873,-0.943115,0.262451,-5.182927,2.134146,5.609756
1548455937519,0.246216,-0.944641,0.273132,-3.963415,1.158537,5.487805
1548455937534,0.242920,-0.954529,0.280823,-2.682927,0.426829,5.914634
1548455937535,0.236694,-0.962219,0.288147,-1.280488,0.304878,7.317073
1548455937550,0.234741,-0.967285,0.294434,-0.182927,0.914634,9.024390
1548455937557,0.237549,-0.964478,0.296143,0.060976,1.890244,10.487805
1548455937572,0.242737,-0.955017,0.296936,0.243902,3.170732,11.463415
1548455937587,0.243958,-0.953064,0.296082,1.097561,4.695122,12.378049
1548455937587,0.246094,-0.951660,0.297363,2.195122,5.975610,13.475610
