timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1548456044952,-1.014343,0.226624,0.176575,-140.121948,-2.073171,-45.000000
1548456044967,-1.103333,0.289307,0.185608,-141.524399,-17.987804,-47.621952
1548456044974,-1.134827,0.298645,0.142883,-126.768295,-18.841463,-49.634148
1548456044982,-1.094421,0.261292,0.112549,-97.865852,-7.195122,-53.048782
1548456044997,-1.019592,0.205078,0.115417,-66.280487,7.134147,-58.719513
1548456045004,-0.993896,0.116394,0.067322,-44.817074,12.195122,-65.609756
1548456045012,-1.004272,0.027710,0.040405,-37.926830,10.670732,-69.573174
1548456045027,-1.016174,-0.001404,0.107483,-40.304878,3.292683,-68.048782
1548456045035,-1.042847,0.020874,0.173401,-48.719513,-8.963415,-65.426834
1548456045042,-1.100037,0.053162,0.174561,-58.902439,-20.609756,-63.231709
1548456045057,-1.150513,0.071533,0.223694,-62.134148,-29.878050,-61.707317
1548456045072,-1.182190,0.069824,0.258179,-56.829269,-33.109756,-61.707317
1548456045072,-1.169678,0.029968,0.179993,-51.707317,-17.560976,-61.768295
1548456045087,-1.124268,0.001709,0.072266,-47.743904,5.975610,-62.743904
1548456045094,-1.060974,-0.044495,0.107849,-43.231709,10.914635,-64.756096
1548456045102,-1.046631,-0.040283,0.150085,-42.621952,-4.695122,-67.134148
1548456045117,-1.103760,0.003052,0.159607,-46.829269,-16.890244,-64.878052
1548456045124,-1.178162,0.023010,0.189941,-47.621952,-30.731709,-60.548782
1548456045132,-1.220764,0.005981,0.258911,-38.353661,-43.109756,-58.292683
1548456045147,-1.205139,-0.036011,0.167725,-25.609756,-34.329269,-55.914635
1548456045154,-1.148315,-0.116699,0.085815,-15.426829,-10.487805,-55.304878
1548456045162,-1.091797,-0.207092,0.084473,-9.085366,-7.500000,-56.402439
1548456045177,-1.065613,-0.262085,0.080750,-10.548780,-17.134148,-56.036587
1548456045184,-1.073486,-0.248840,0.117554,-19.878050,-22.804878,-52.621952
1548456045192,-1.125732,-0.210022,0.153320,-31.280489,-29.756098,-47.560978
1548456045207,-1.188171,-0.174561,0.197998,-37.743904,-35.853661,-42.682926
1548456045214,-1.226562,-0.130127,0.178284,-35.365856,-34.024391,-36.341465
1548456045222,-1.216675,-0.126465,0.155334,-24.695122,-23.414635,-29.756098
1548456045237,-1.179077,-0.171997,0.128723,-8.597561,-15.304878,-27.256098
1548456045244,-1.144592,-0.240051,0.096313,6.219512,-9.451220,-27.500000
1548456045252,-1.109680,-0.295410,0.085632,14.268293,-6.707317,-28.475611
1548456045267,-1.080688,-0.325256,0.073792,13.475610,-8.841464,-28.353659
1548456045274,-1.048401,-0.334656,0.066528,6.341464,-10.609756,-27.682928
1548456045282,-1.013855,-0.330750,0.062927,-2.804878,-11.402439,-27.134148
1548456045297,-0.962280,-0.318176,0.079773,-11.158537,-10.609756,-27.073172
1548456045304,-0.928406,-0.282715,0.104919,-18.658537,-9.939025,-27.134148
1548456045312,-0.928772,-0.242859,0.116882,-23.780489,-11.341464,-25.914635
1548456045327,-0.968018,-0.215088,0.108826,-25.792683,-13.048780,-22.439024
1548456045334,-1.018188,-0.194275,0.125061,-22.926830,-13.048780,-17.621952
1548456045342,-1.070312,-0.187988,0.141174,-15.548780,-12.560976,-12.682927
1548456045357,-1.102661,-0.189941,0.155701,-6.829268,-12.378049,-8.719512
1548456045364,-1.099060,-0.183411,0.156067,1.341463,-14.329268,-6.341464
1548456045372,-1.045349,-0.169678,0.151001,7.073171,-20.060976,-6.219512
1548456045387,-0.969177,-0.162842,0.143433,9.268292,-29.817074,-9.024390
1548456045394,-0.906494,-0.176880,0.155884,8.658537,-42.195122,-14.573171
1548456045402,-0.887512,-0.201782,0.182068,5.975610,-54.634148,-20.548780
1548456045417,-0.905396,-0.225281,0.206970,1.951220,-64.695122,-23.658537
1548456045424,-0.937073,-0.234680,0.235718,-2.865854,-68.475609,-22.804878
1548456045432,-0.967224,-0.231018,0.244385,-7.987805,-67.804878,-20.670732
1548456045447,-0.975159,-0.218506,0.243530,-12.439025,-63.719513,-20.000000
1548456045454,-0.966736,-0.208191,0.230713,-14.878049,-59.939026,-22.073172
1548456045462,-0.944763,-0.202148,0.214294,-14.390244,-59.268295,-26.280489
1548456045477,-0.924683,-0.215210,0.211060,-11.036586,-62.256100,-31.280489
1548456045485,-0.919556,-0.237122,0.221741,-6.219512,-69.146339,-36.463417
1548456045492,-0.919067,-0.253174,0.240051,-1.280488,-77.621956,-41.158539
1548456045507,-0.916931,-0.272522,0.254822,2.073171,-85.060974,-44.878048
1548456045514,-0.908020,-0.296631,0.264526,3.597561,-90.365852,-47.500000
1548456045522,-0.895508,-0.331360,0.267273,3.353659,-93.963417,-49.573174
1548456045537,-0.880066,-0.360535,0.279724,1.585366,-97.012199,-52.195122
1548456045544,-0.868286,-0.386963,0.293884,-1.219512,-99.817078,-55.121952
1548456045552,-0.860413,-0.395935,0.307617,-4.756098,-103.048782,-57.926830
1548456045567,-0.856201,-0.399475,0.324890,-8.292683,-106.280487,-60.792683
1548456045574,-0.846436,-0.408264,0.345154,-10.853659,-108.902443,-63.841465
1548456045582,-0.841370,-0.417297,0.376953,-11.280488,-111.036591,-67.317078
1548456045597,-0.827698,-0.422852,0.415222,-10.060976,-112.439026,-70.426834
1548456045604,-0.828979,-0.440063,0.458435,-9.390244,-114.207321,-71.646339
1548456045612,-0.836731,-0.457031,0.496765,-10.060976,-116.829269,-70.609756
1548456045627,-0.831909,-0.461487,0.529785,-11.036586,-117.439026,-69.207321
1548456045634,-0.818298,-0.458740,0.548279,-11.402439,-114.451225,-68.841469
1548456045642,-0.773254,-0.457458,0.561951,-10.121951,-107.560982,-69.573174
1548456045649,-0.731201,-0.463989,0.564636,-8.475610,-98.353661,-69.878052
1548456045664,-0.701416,-0.473328,0.552368,-8.292683,-91.951225,-70.426834
1548456045672,-0.680420,-0.493958,0.553162,-10.487805,-88.902443,-72.012199
1548456045679,-0.664917,-0.526428,0.562805,-15.487805,-88.597565,-74.817078
1548456045694,-0.656494,-0.548767,0.579346,-22.073172,-89.817078,-78.780487
1548456045702,-0.659424,-0.557800,0.603027,-28.841465,-90.731712,-82.256096
1548456045709,-0.663818,-0.570190,0.632019,-35.426830,-89.268295,-84.390244
1548456045724,-0.660339,-0.579041,0.643616,-41.402439,-85.365852,-85.243904
1548456045732,-0.654175,-0.579956,0.644348,-45.548782,-79.634148,-85.182930
1548456045739,-0.648193,-0.611023,0.674988,-45.792683,-80.853661,-85.792686
1548456045754,-0.639893,-0.610474,0.633667,-48.048782,-69.817078,-84.512199
1548456045762,-0.612610,-0.621704,0.628845,-49.085365,-58.414635,-82.926834
1548456045777,-0.588684,-0.629028,0.617615,-46.463417,-56.280491,-81.768295
1548456045784,-0.573059,-0.631226,0.611084,-43.902439,-54.573174,-80.548782
1548456045792,-0.560120,-0.646729,0.613342,-40.914635,-53.902439,-79.146347
1548456045799,-0.543945,-0.675903,0.615417,-38.292683,-53.719513,-77.560974
1548456045814,-0.526550,-0.710266,0.618164,-37.621952,-52.378052,-75.487808
1548456045822,-0.514648,-0.746582,0.620605,-39.695122,-50.304878,-72.865852
1548456045829,-0.516602,-0.777161,0.633179,-44.085365,-47.926830,-70.792686
1548456045844,-0.550659,-0.803833,0.666565,-48.902439,-45.792683,-69.268295
1548456045852,-0.608704,-0.828735,0.698303,-51.585365,-43.536587,-66.341461
1548456045859,-0.599182,-0.790955,0.678528,-51.890244,-38.292683,-61.402439
1548456045874,-0.487854,-0.727905,0.586243,-49.085365,-27.256098,-54.756100
1548456045882,-0.394165,-0.762512,0.525574,-44.329269,-22.073172,-47.012196
1548456045889,-0.403259,-0.786438,0.563721,-35.121952,-25.792683,-42.195122
1548456045904,-0.429993,-0.770264,0.577148,-25.121952,-36.036587,-39.024391
1548456045912,-0.448303,-0.776550,0.578979,-19.695122,-41.524391,-34.756100
1548456045919,-0.442932,-0.772827,0.580688,-16.463415,-43.536587,-30.975611
1548456045934,-0.406250,-0.772949,0.578857,-12.987805,-40.853661,-27.317074
1548456045942,-0.406494,-0.784180,0.582397,-10.548780,-39.207317,-25.365854
1548456045949,-0.395752,-0.775696,0.580017,-9.390244,-39.024391,-22.865854
1548456045964,-0.387939,-0.781250,0.569092,-9.024390,-37.560978,-19.451220
1548456045972,-0.390991,-0.780212,0.571167,-7.500000,-38.292683,-16.036585
1548456045979,-0.386475,-0.769409,0.577698,-5.304878,-37.865856,-13.902439
1548456045994,-0.406433,-0.767212,0.579834,-3.536585,-38.475609,-13.414635
1548456046002,-0.381775,-0.767700,0.581787,-1.280488,-36.707317,-12.439025
1548456046009,-0.375549,-0.768127,0.589233,1.585366,-32.987804,-12.804878
1548456046024,-0.382446,-0.767639,0.593628,3.780488,-31.707317,-13.048780
1548456046032,-0.362061,-0.772461,0.595764,5.182927,-29.939026,-12.682927
1548456046039,-0.366272,-0.769531,0.603638,6.707317,-27.560976,-12.682927
1548456046054,-0.372070,-0.768738,0.608276,7.804878,-25.426830,-12.134147
1548456046062,-0.347595,-0.770264,0.611450,8.719512,-21.280489,-11.463415
1548456046069,-0.325562,-0.776733,0.616882,9.817074,-16.646341,-11.402439
1548456046084,-0.354309,-0.772034,0.619202,9.512196,-15.548780,-10.670732
1548456046092,-0.352478,-0.762207,0.615906,7.560976,-14.695123,-8.414635
1548456046099,-0.336609,-0.765869,0.616089,6.829268,-11.097561,-7.439024
1548456046114,-0.333496,-0.770691,0.617859,6.463415,-9.207317,-7.865854
1548456046122,-0.332031,-0.767883,0.615662,5.426829,-8.048780,-7.195122
1548456046129,-0.330872,-0.767761,0.611938,4.451220,-6.768293,-5.670732
1548456046144,-0.329956,-0.766724,0.610901,3.963415,-5.853659,-4.451220
1548456046152,-0.300964,-0.762939,0.604492,3.658537,-5.670732,-4.024390
1548456046159,-0.315918,-0.776062,0.613220,3.597561,-6.280488,-3.780488
1548456046174,-0.362244,-0.750366,0.605103,2.256098,-11.219512,-2.743902
1548456046182,-0.325500,-0.758484,0.602661,1.829268,-10.365854,-0.670732
1548456046189,-0.341919,-0.752319,0.606262,3.841464,-10.304878,-3.109756
1548456046204,-0.313110,-0.763367,0.609375,5.670732,-10.914635,-4.268293
