timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1548456687188,-1.023193,0.102112,0.042603,0.914634,-0.792683,0.487805
1548456687203,-1.030701,0.103516,0.043579,0.670732,-0.792683,0.487805
1548456687211,-1.029907,0.105957,0.043823,0.487805,-0.853659,0.487805
1548456687225,-1.029724,0.106812,0.041382,0.304878,-0.914634,0.548781
1548456687226,-1.031677,0.105957,0.037537,0.182927,-0.914634,0.487805
1548456687233,-1.035950,0.104492,0.038513,0.243902,-0.975610,0.487805
1548456687249,-1.034790,0.104675,0.038513,0.304878,-0.975610,0.487805
1548456687256,-1.033630,0.102539,0.037292,0.243902,-1.036585,0.487805
1548456687263,-1.034180,0.102966,0.037903,0.060976,-1.036585,0.426829
1548456687278,-1.032471,0.105591,0.034668,0.000000,-1.097561,0.426829
1548456687286,-1.032410,0.105713,0.034485,-0.060976,-1.097561,0.365854
1548456687293,-1.031372,0.106567,0.034729,-0.121951,-1.097561,0.365854
1548456687315,-1.034241,0.109131,0.033813,0.000000,-1.036585,0.487805
1548456687316,-1.034302,0.108948,0.033264,0.000000,-0.975610,0.426829
1548456687323,-1.034241,0.108582,0.032410,-0.060976,-0.975610,0.487805
1548456687339,-1.031799,0.107483,0.031616,0.243902,-0.853659,0.487805
1548456687346,-1.027649,0.109619,0.034363,0.487805,-0.853659,0.548781
1548456687368,-1.026306,0.108948,0.032288,0.487805,-0.914634,0.487805
1548456687368,-1.027100,0.107727,0.032349,0.609756,-0.853659,0.487805
1548456687376,-1.026917,0.107544,0.033081,0.731707,-0.731707,0.548781
1548456687383,-1.025757,0.106384,0.034363,0.731707,-0.609756,0.548781
1548456687413,-1.028076,0.108093,0.031982,0.426829,-0.548781,0.609756
1548456687413,-1.027771,0.106445,0.033264,0.304878,-0.609756,0.548781
1548456687414,-1.028931,0.105347,0.036743,0.304878,-0.548781,0.609756
1548456687435,-1.033508,0.106079,0.036804,0.243902,-0.487805,0.548781
1548456687436,-1.034729,0.106018,0.034607,0.304878,-0.426829,0.548781
1548456687458,-1.033691,0.104614,0.033203,0.304878,-0.426829,0.670732
1548456687458,-1.035217,0.106140,0.035156,0.365854,-0.365854,0.548781
1548456687480,-1.034119,0.106567,0.038208,0.426829,-0.487805,0.548781
1548456687481,-1.034363,0.102051,0.036865,0.548781,-0.426829,0.426829
1548456687488,-1.034241,0.106689,0.038086,0.426829,-0.426829,0.365854
1548456687496,-1.032959,0.105774,0.037598,0.426829,-0.548781,0.426829
1548456687503,-1.033325,0.105652,0.037354,0.426829,-0.548781,0.304878
1548456687526,-1.032776,0.104431,0.036987,0.182927,-0.670732,0.304878
1548456687533,-1.031616,0.103638,0.037598,0.182927,-0.731707,0.304878
1548456687534,-1.029053,0.104797,0.038025,0.121951,-0.792683,0.182927
1548456687548,-1.026611,0.105896,0.037781,0.060976,-0.914634,0.060976
1548456687556,-1.026794,0.106018,0.038391,-0.060976,-0.914634,0.121951
1548456687571,-1.028564,0.106750,0.038818,0.000000,-0.975610,0.121951
1548456687578,-1.031860,0.110168,0.038574,0.000000,-0.792683,0.121951
1548456687585,-1.031250,0.108154,0.037231,0.182927,-0.548781,0.121951
1548456687593,-1.029297,0.107178,0.035095,0.243902,-0.487805,0.121951
1548456687623,-1.029358,0.107544,0.035034,0.365854,-0.426829,0.121951
1548456687623,-1.030762,0.110229,0.035645,0.487805,-0.365854,0.121951
1548456687624,-1.030945,0.108337,0.035706,0.609756,-0.243902,0.243902
1548456687646,-1.031799,0.109375,0.033203,0.670732,-0.121951,0.243902
1548456687647,-1.029236,0.111023,0.036011,0.548781,-0.060976,0.243902
1548456687653,-1.030457,0.110474,0.035828,0.609756,0.060976,0.182927
1548456687668,-1.030579,0.111755,0.035156,0.670732,0.060976,0.182927
1548456687690,-1.029358,0.112488,0.033325,0.792683,0.182927,0.243902
1548456687691,-1.034058,0.111877,0.035217,1.036585,0.365854,0.304878
1548456687713,-1.034058,0.114075,0.033752,1.280488,0.548781,0.304878
1548456687714,-1.034668,0.115906,0.034546,1.463415,0.792683,0.304878
