timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1548456811768,-1.004700,0.204407,0.037598,-0.121951,-1.524390,1.890244
1548456811776,-1.016541,0.204285,0.036133,0.182927,-1.707317,1.829268
1548456811783,-1.015808,0.201294,0.038025,0.060976,-1.585366,1.585366
1548456811789,-1.015076,0.203186,0.039856,-0.060976,-1.402439,1.402439
1548456811804,-1.014954,0.202026,0.038696,0.000000,-1.402439,1.402439
1548456811815,-1.013550,0.197632,0.038269,0.000000,-1.402439,1.463415
1548456811819,-1.011292,0.197815,0.041565,-0.182927,-1.280488,1.280488
1548456811836,-1.013428,0.201172,0.043396,-0.426829,-1.158537,1.097561
1548456811843,-1.015564,0.202942,0.045105,-0.426829,-1.036585,0.975610
1548456811864,-1.016357,0.202820,0.044189,-0.182927,-0.975610,0.975610
1548456811865,-1.014343,0.199951,0.041809,0.121951,-0.792683,0.914634
1548456811871,-1.016296,0.199036,0.045410,0.243902,-0.670732,0.670732
1548456811887,-1.014282,0.198730,0.051453,0.121951,-0.609756,0.548781
1548456811894,-1.009705,0.197815,0.049133,0.121951,-0.670732,0.304878
1548456811901,-1.012939,0.197266,0.050354,0.121951,-0.670732,0.182927
1548456811909,-1.013855,0.198975,0.051208,0.182927,-0.731707,-0.060976
1548456811924,-1.016052,0.203003,0.048340,0.304878,-0.731707,-0.182927
1548456811931,-1.018494,0.204163,0.051392,0.243902,-0.731707,-0.243902
1548456811939,-1.016235,0.205322,0.048462,0.243902,-0.609756,-0.365854
1548456811954,-1.017395,0.205688,0.050232,0.304878,-0.670732,-0.487805
1548456811961,-1.015381,0.205627,0.051147,0.304878,-0.670732,-0.609756
1548456811969,-1.013245,0.205750,0.051697,0.365854,-0.670732,-0.792683
1548456811984,-1.012512,0.207825,0.052246,0.548781,-0.731707,-0.853659
1548456811992,-1.011780,0.210999,0.050476,0.609756,-0.731707,-0.853659
1548456812006,-1.011108,0.211304,0.051575,0.670732,-0.670732,-0.792683
1548456812014,-1.009644,0.212341,0.048767,0.670732,-0.670732,-0.731707
1548456812021,-1.010071,0.213806,0.050232,0.548781,-0.731707,-0.670732
1548456812029,-1.010742,0.214783,0.051453,0.609756,-0.853659,-0.548781
1548456812052,-1.011230,0.214783,0.050781,0.548781,-0.975610,-0.426829
1548456812052,-1.009705,0.213135,0.046326,0.487805,-0.975610,-0.365854
1548456812059,-1.011353,0.215698,0.041016,0.304878,-0.792683,-0.243902
1548456812074,-1.012817,0.216797,0.041992,0.121951,-0.853659,-0.121951
1548456812081,-1.013123,0.215088,0.041260,0.060976,-0.792683,0.121951
1548456812089,-1.015503,0.214478,0.040283,-0.121951,-0.670732,0.304878
1548456812104,-1.017395,0.214722,0.038086,-0.182927,-0.670732,0.426829
1548456812119,-1.019409,0.212708,0.037231,-0.060976,-0.670732,0.548781
1548456812120,-1.017639,0.210693,0.043640,0.304878,-0.426829,0.731707
1548456812134,-1.017639,0.210022,0.042908,0.426829,-0.365854,0.792683
1548456812141,-1.016357,0.208130,0.043030,0.365854,-0.426829,0.853659
1548456812149,-1.014893,0.206177,0.044617,0.487805,-0.426829,0.914634
1548456812164,-1.015198,0.204834,0.044067,0.548781,-0.365854,0.914634
1548456812172,-1.014526,0.202942,0.045959,0.548781,-0.365854,0.853659
1548456812179,-1.013184,0.204712,0.047424,0.548781,-0.426829,0.731707
1548456812194,-1.014893,0.200684,0.048950,0.426829,-0.426829,0.609756
1548456812201,-1.016968,0.202698,0.047302,0.365854,-0.609756,0.609756
1548456812209,-1.015259,0.203796,0.050110,0.548781,-0.670732,0.365854
1548456812224,-1.016052,0.202209,0.050903,0.487805,-0.609756,0.243902
1548456812231,-1.016724,0.203552,0.050720,0.365854,-0.609756,0.243902
1548456812239,-1.015869,0.208374,0.049927,0.365854,-0.548781,0.243902
1548456812254,-1.015259,0.210754,0.049011,0.365854,-0.365854,0.121951
1548456812261,-1.013733,0.210449,0.049377,0.548781,-0.182927,0.182927
1548456812269,-1.012390,0.212402,0.049316,0.670732,0.060976,0.121951
1548456812284,-1.012146,0.212830,0.046936,1.097561,0.243902,0.243902
1548456812291,-1.009277,0.213928,0.048950,1.585366,0.365854,0.304878
1548456812299,-1.010315,0.212219,0.046387,2.012195,0.548781,0.426829
1548456812314,-1.009705,0.211731,0.044678,2.195122,0.548781,0.670732
