timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1548457224579,-1.028625,-0.061646,-0.113770,0.426829,-0.853659,-0.121951
1548457224586,-1.037354,-0.058594,-0.116699,0.304878,-0.792683,0.000000
1548457224594,-1.033508,-0.059998,-0.117920,0.487805,-0.792683,0.000000
1548457224609,-1.034424,-0.060669,-0.116089,0.609756,-0.914634,0.060976
1548457224624,-1.033752,-0.060852,-0.117676,0.731707,-0.914634,0.243902
1548457224625,-1.034607,-0.059387,-0.118774,0.792683,-0.853659,0.243902
1548457224639,-1.032898,-0.059937,-0.117126,0.792683,-0.792683,0.304878
1548457224646,-1.032898,-0.062012,-0.117188,0.914634,-0.731707,0.426829
1548457224662,-1.032593,-0.059387,-0.119202,0.914634,-0.670732,0.548781
1548457224669,-1.031982,-0.058228,-0.115723,0.914634,-0.609756,0.548781
1548457224676,-1.031677,-0.060974,-0.114319,1.036585,-0.548781,0.731707
1548457224684,-1.032654,-0.061035,-0.116882,1.036585,-0.609756,0.792683
1548457224699,-1.030701,-0.060547,-0.117981,0.975610,-0.670732,0.731707
1548457224706,-1.029053,-0.063232,-0.119812,0.975610,-0.731707,0.670732
1548457224714,-1.029053,-0.062073,-0.120178,0.914634,-0.670732,0.670732
1548457224729,-1.029358,-0.062256,-0.116882,0.975610,-0.670732,0.670732
1548457224737,-1.028503,-0.063660,-0.119812,1.036585,-0.792683,0.670732
1548457224744,-1.028870,-0.063721,-0.118530,1.036585,-0.853659,0.670732
1548457224759,-1.028503,-0.060791,-0.120117,0.975610,-1.097561,0.609756
1548457224767,-1.030762,-0.061584,-0.120117,0.853659,-1.097561,0.487805
1548457224774,-1.030823,-0.059387,-0.118164,0.853659,-1.097561,0.365854
1548457224789,-1.031616,-0.059448,-0.119019,0.975610,-1.097561,0.304878
1548457224797,-1.033081,-0.057922,-0.122131,0.975610,-1.036585,0.365854
1548457224804,-1.031860,-0.058228,-0.120483,0.914634,-1.036585,0.304878
1548457224819,-1.030701,-0.059631,-0.119873,0.975610,-0.853659,0.365854
1548457224826,-1.032593,-0.061890,-0.121826,0.792683,-0.670732,0.304878
1548457224834,-1.032837,-0.062927,-0.119751,0.792683,-0.731707,0.304878
1548457224849,-1.033936,-0.062622,-0.120605,0.670732,-0.670732,0.243902
1548457224856,-1.032776,-0.062500,-0.117249,0.548781,-0.609756,0.243902
1548457224864,-1.032776,-0.061218,-0.119507,0.548781,-0.731707,0.182927
1548457224879,-1.032288,-0.061401,-0.117737,0.426829,-0.731707,0.121951
1548457224887,-1.032410,-0.062134,-0.117004,0.304878,-0.609756,0.121951
1548457224894,-1.031006,-0.061951,-0.117004,0.182927,-0.670732,0.121951
1548457224909,-1.031494,-0.060913,-0.117981,0.182927,-0.548781,0.060976
1548457224917,-1.032227,-0.060242,-0.116150,0.182927,-0.548781,0.182927
1548457224924,-1.034485,-0.061951,-0.117065,0.243902,-0.548781,0.000000
1548457224939,-1.035461,-0.061096,-0.118958,0.182927,-0.487805,0.121951
1548457224947,-1.031616,-0.059998,-0.119507,0.182927,-0.548781,0.121951
1548457224954,-1.031860,-0.060730,-0.117859,0.182927,-0.487805,0.182927
1548457224969,-1.031250,-0.059387,-0.119141,0.121951,-0.548781,0.182927
1548457224977,-1.029358,-0.059387,-0.118652,0.121951,-0.487805,0.121951
1548457224984,-1.030945,-0.057617,-0.117798,0.000000,-0.487805,0.182927
1548457224999,-1.028503,-0.058777,-0.118591,0.121951,-0.487805,0.182927
1548457225007,-1.028748,-0.058289,-0.119751,0.182927,-0.548781,0.121951
1548457225014,-1.029297,-0.058899,-0.121155,0.121951,-0.548781,0.182927
1548457225029,-1.029358,-0.057983,-0.118469,0.243902,-0.548781,0.243902
1548457225037,-1.030701,-0.059326,-0.118530,0.365854,-0.731707,0.243902
1548457225044,-1.031677,-0.061218,-0.119385,0.243902,-0.670732,0.304878
1548457225059,-1.030518,-0.060791,-0.120911,0.243902,-0.670732,0.304878
1548457225067,-1.032166,-0.061279,-0.118774,0.243902,-0.853659,0.243902
1548457225074,-1.032104,-0.060852,-0.118591,0.243902,-0.731707,0.304878
1548457225089,-1.030640,-0.059875,-0.119080,0.304878,-0.670732,0.365854
1548457225097,-1.032776,-0.057922,-0.117432,0.243902,-0.792683,0.304878
1548457225104,-1.033813,-0.059082,-0.116638,0.182927,-0.853659,0.243902
1548457225119,-1.031067,-0.059448,-0.118042,0.243902,-0.792683,0.243902
1548457225127,-1.032959,-0.060425,-0.119263,0.365854,-0.731707,0.365854
1548457225134,-1.033203,-0.059998,-0.119446,0.304878,-0.670732,0.365854
1548457225149,-1.031799,-0.061035,-0.117737,0.304878,-0.731707,0.365854
1548457225157,-1.033813,-0.060730,-0.119385,0.426829,-0.609756,0.365854
1548457225164,-1.032532,-0.060608,-0.118530,0.426829,-0.670732,0.365854
1548457225179,-1.030029,-0.059143,-0.117676,0.365854,-0.731707,0.487805
1548457225187,-1.031067,-0.059570,-0.118591,0.304878,-0.670732,0.426829
1548457225194,-1.030518,-0.060181,-0.119934,0.304878,-0.731707,0.426829
1548457225209,-1.032166,-0.058594,-0.118774,0.182927,-0.609756,0.365854
1548457225216,-1.031799,-0.059631,-0.117126,0.304878,-0.548781,0.365854
1548457225224,-1.031555,-0.058716,-0.115723,0.243902,-0.609756,0.304878
1548457225239,-1.028870,-0.059326,-0.117249,0.182927,-0.609756,0.304878
1548457225246,-1.028748,-0.060730,-0.117310,0.304878,-0.670732,0.243902
1548457225254,-1.031494,-0.059570,-0.116150,0.304878,-0.670732,0.243902
1548457225269,-1.030396,-0.058533,-0.116638,0.365854,-0.609756,0.304878
1548457225277,-1.028748,-0.059692,-0.118835,0.365854,-0.548781,0.243902
1548457225284,-1.030884,-0.060364,-0.117737,0.365854,-0.670732,0.243902
1548457225299,-1.032288,-0.059265,-0.117859,0.365854,-0.731707,0.243902
1548457225307,-1.033142,-0.059326,-0.118652,0.304878,-0.670732,0.182927
1548457225314,-1.032471,-0.060791,-0.118958,0.304878,-0.670732,0.182927
1548457225329,-1.032532,-0.060059,-0.117859,0.365854,-0.670732,0.182927
1548457225336,-1.031555,-0.062561,-0.117310,0.426829,-0.670732,0.304878
1548457225344,-1.028198,-0.061401,-0.117493,0.487805,-0.670732,0.243902
1548457225359,-1.030884,-0.058289,-0.117249,0.487805,-0.670732,0.243902
1548457225367,-1.029236,-0.059692,-0.119568,0.426829,-0.792683,0.243902
1548457225374,-1.030212,-0.058289,-0.115662,0.548781,-0.853659,0.121951
1548457225389,-1.031860,-0.056335,-0.116882,0.731707,-0.914634,0.060976
