timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1548437483958,-1.016541,0.090881,0.161987,1.524390,-0.365854,-0.487805
1548437483965,-1.021484,0.092712,0.159790,1.768293,-0.304878,-0.548781
1548437483980,-1.022827,0.095581,0.160217,1.707317,-0.304878,-0.548781
1548437483988,-1.024353,0.096680,0.158447,1.646341,-0.304878,-0.670732
1548437483995,-1.021667,0.098267,0.153076,1.585366,-0.243902,-0.853659
1548437484010,-1.022034,0.096680,0.149536,1.707317,-0.243902,-0.914634
1548437484018,-1.020874,0.097168,0.149841,2.012195,-0.487805,-0.975610
1548437484032,-1.022400,0.095337,0.149719,2.134146,-0.670732,-1.097561
1548437484040,-1.025146,0.095764,0.148071,2.195122,-0.792683,-1.280488
1548437484048,-1.026062,0.096191,0.145142,2.378049,-0.853659,-1.463415
1548437484055,-1.025940,0.093628,0.147705,2.439024,-1.036585,-1.463415
1548437484070,-1.025269,0.094299,0.150146,2.500000,-1.097561,-1.646341
1548437484078,-1.022888,0.091614,0.148682,2.621951,-1.219512,-1.829268
1548437484085,-1.024414,0.090759,0.149170,2.804878,-1.341463,-1.829268
1548437484100,-1.025024,0.091614,0.153320,3.048780,-1.524390,-1.951220
1548437484108,-1.023193,0.089783,0.155518,2.804878,-1.463415,-2.073171
1548437484116,-1.024780,0.091064,0.157715,2.621951,-1.341463,-2.134146
1548437484131,-1.024902,0.091125,0.162903,2.804878,-1.280488,-2.195122
1548437484138,-1.024109,0.089111,0.164307,2.987805,-1.341463,-2.256098
1548437484149,-1.021545,0.087585,0.160583,3.292683,-1.341463,-2.317073
1548437484160,-1.022583,0.088440,0.159668,3.536585,-1.463415,-2.378049
1548437484168,-1.024109,0.089050,0.162903,3.597561,-1.585366,-2.500000
1548437484175,-1.023071,0.086304,0.162048,3.414634,-1.463415,-2.621951
1548437484190,-1.024475,0.085876,0.163208,3.475610,-1.463415,-2.682927
1548437484198,-1.026184,0.085083,0.163208,3.841464,-1.402439,-2.804878
1548437484205,-1.027527,0.083374,0.162842,4.085366,-1.341463,-2.743902
1548437484220,-1.024292,0.080566,0.160767,4.695122,-1.158537,-2.743902
1548437484228,-1.025757,0.078979,0.162537,5.000000,-1.097561,-2.804878
1548437484243,-1.028687,0.078064,0.164673,5.000000,-1.036585,-2.682927
1548437484250,-1.023560,0.071960,0.163513,4.939024,-0.914634,-2.682927
1548437484258,-1.022217,0.070129,0.161743,5.243903,-0.853659,-2.621951
1548437484265,-1.023804,0.068970,0.161987,5.548780,-0.792683,-2.439024
1548437484280,-1.022766,0.066833,0.162659,5.365854,-0.792683,-2.256098
1548437484287,-1.023071,0.067078,0.163452,5.182927,-0.609756,-2.073171
1548437484295,-1.026306,0.063477,0.159973,4.756098,-0.548781,-1.890244
1548437484310,-1.023132,0.064087,0.155945,4.207317,-0.487805,-1.707317
1548437484318,-1.025146,0.063782,0.156860,3.841464,-0.487805,-1.646341
1548437484325,-1.026733,0.063354,0.159851,3.353659,-0.426829,-1.341463
1548437484340,-1.026184,0.064819,0.159973,2.743902,-0.304878,-1.036585
1548437484347,-1.029907,0.068604,0.158813,2.195122,-0.121951,-0.792683
1548437484355,-1.028137,0.068848,0.155640,1.890244,0.000000,-0.670732
1548437484370,-1.028992,0.069580,0.157593,1.646341,0.060976,-0.487805
1548437484378,-1.026855,0.070679,0.160950,1.524390,0.182927,-0.182927
1548437484385,-1.026306,0.071106,0.158691,1.402439,0.121951,0.000000
1548437484400,-1.026184,0.073792,0.155762,1.219512,0.182927,0.182927
1548437484408,-1.024353,0.076721,0.154785,0.975610,0.243902,0.304878
1548437484415,-1.024353,0.075562,0.154846,0.609756,0.243902,0.304878
1548437484430,-1.022278,0.074402,0.153320,0.548781,0.182927,0.426829
1548437484438,-1.020081,0.073181,0.151611,0.548781,0.060976,0.609756
