timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z
1549416540738,-0.200684,-0.837280,-0.550720,2.865854,-3.841464,-1.829268
1549416540753,-0.205078,-0.848572,-0.546509,2.317073,-4.207317,-1.890244
1549416540760,-0.204712,-0.844482,-0.536987,1.707317,-4.085366,-1.463415
1549416540768,-0.207397,-0.840332,-0.531555,1.158537,-3.963415,-1.036585
1549416540783,-0.209839,-0.836731,-0.528442,0.792683,-3.658537,-0.792683
1549416540790,-0.208008,-0.835693,-0.527100,0.731707,-2.926829,-0.487805
1549416540798,-0.207275,-0.835449,-0.527283,0.914634,-2.317073,-0.243902
1549416540813,-0.208252,-0.839050,-0.530884,1.158537,-1.585366,-0.121951
1549416540820,-0.208130,-0.842957,-0.536743,1.280488,-0.975610,-0.060976
1549416540828,-0.206177,-0.841248,-0.539734,1.280488,-0.426829,0.121951
1549416540843,-0.207764,-0.842346,-0.540527,0.975610,-0.121951,0.243902
1549416540858,-0.207153,-0.839661,-0.545410,0.609756,0.000000,0.304878
1549416540858,-0.205383,-0.834534,-0.548706,0.182927,0.121951,0.304878
1549416540873,-0.208557,-0.830872,-0.549561,-0.121951,0.243902,0.609756
1549416540895,-0.208435,-0.827820,-0.552429,-0.304878,0.121951,0.670732
1549416540896,-0.206421,-0.826294,-0.554626,-0.426829,-0.060976,0.548781
1549416540896,-0.205322,-0.826477,-0.555908,-0.304878,-0.121951,0.426829
1549416540910,-0.206787,-0.826660,-0.555054,-0.121951,-0.365854,0.304878
1549416540918,-0.204102,-0.828796,-0.553894,-0.121951,-0.670732,0.121951
1549416540933,-0.202026,-0.830994,-0.551147,-0.304878,-0.914634,-0.121951
1549416540948,-0.204224,-0.834412,-0.550720,-0.487805,-1.036585,-0.243902
1549416540948,-0.203369,-0.833679,-0.552246,-0.548781,-0.914634,-0.243902
1549416540963,-0.203918,-0.829834,-0.551758,-0.426829,-0.792683,-0.121951
1549416540970,-0.204285,-0.831116,-0.551819,-0.487805,-0.914634,0.121951
1549416540978,-0.201538,-0.831543,-0.550903,-0.670732,-0.914634,0.121951
1549416540993,-0.203918,-0.827271,-0.550232,-0.670732,-0.670732,0.304878
1549416541000,-0.204773,-0.827759,-0.547913,-0.426829,-0.548781,0.365854
1549416541008,-0.201538,-0.832092,-0.545166,-0.182927,-0.487805,0.487805
1549416541023,-0.201965,-0.831848,-0.547974,-0.060976,-0.304878,0.426829
1549416541030,-0.204529,-0.833557,-0.552612,0.121951,-0.121951,0.426829
1549416541038,-0.200378,-0.839661,-0.561462,0.426829,-0.121951,0.487805
1549416541053,-0.197021,-0.842041,-0.570251,0.548781,-0.121951,0.670732
1549416541060,-0.202332,-0.842407,-0.572266,0.670732,-0.792683,1.036585
1549416541068,-0.201111,-0.842834,-0.570496,0.121951,-1.890244,1.402439
1549416541083,-0.196289,-0.835327,-0.571655,-0.731707,-2.439024,1.646341
1549416541090,-0.197876,-0.828918,-0.568604,-1.097561,-3.048780,1.768293
1549416541098,-0.201416,-0.829651,-0.566101,-1.097561,-3.963415,1.707317
1549416541113,-0.199341,-0.833984,-0.569214,-0.731707,-4.573171,1.585366
1549416541120,-0.199585,-0.837708,-0.565002,-0.548781,-5.060976,1.463415
1549416541128,-0.202148,-0.839600,-0.562805,-0.914634,-5.731708,1.524390
1549416541143,-0.205444,-0.841003,-0.561890,-1.524390,-6.402439,1.707317
1549416541150,-0.207886,-0.845215,-0.567017,-2.195122,-6.768293,1.768293
1549416541158,-0.205444,-0.848328,-0.575623,-2.987805,-7.073171,1.890244
1549416541173,-0.203369,-0.844299,-0.581909,-3.109756,-7.560976,2.500000
1549416541180,-0.202332,-0.835449,-0.582214,-3.536585,-8.597561,3.231707
1549416541187,-0.202576,-0.829041,-0.579895,-4.207317,-9.634147,3.719512
1549416541203,-0.202759,-0.823303,-0.576599,-4.756098,-10.182927,3.536585
1549416541210,-0.209167,-0.821960,-0.574036,-4.817073,-10.792684,3.170732
1549416541218,-0.215027,-0.823547,-0.570679,-4.390244,-11.890244,2.682927
1549416541233,-0.216553,-0.821289,-0.565125,-4.329268,-12.743903,2.682927
1549416541240,-0.222656,-0.823486,-0.557678,-4.817073,-13.414635,2.743902
1549416541248,-0.225159,-0.827148,-0.553284,-5.487805,-13.963415,2.500000
1549416541263,-0.229919,-0.826416,-0.546265,-6.097561,-14.024390,2.256098
1549416541270,-0.233032,-0.822083,-0.548706,-6.402439,-13.841464,2.256098
1549416541278,-0.231201,-0.820923,-0.545837,-6.585366,-13.719513,2.439024
1549416541293,-0.233398,-0.821411,-0.543457,-6.402439,-13.292684,2.500000
1549416541300,-0.232788,-0.822815,-0.541138,-6.158537,-12.804878,2.378049
1549416541308,-0.234924,-0.818787,-0.542297,-5.792683,-12.500000,2.439024
1549416541323,-0.235352,-0.815979,-0.541260,-5.365854,-12.073171,2.682927
1549416541330,-0.240906,-0.819763,-0.536926,-4.634146,-11.463415,2.682927
1549416541338,-0.244995,-0.821777,-0.534851,-3.902439,-10.853659,2.560976
1549416541353,-0.246521,-0.820251,-0.534851,-3.048780,-10.000000,2.682927
1549416541360,-0.245361,-0.826233,-0.538086,-2.195122,-9.268292,3.170732
1549416541368,-0.244019,-0.830322,-0.541504,-2.134146,-8.719512,3.475610
1549416541383,-0.242493,-0.827759,-0.544739,-2.317073,-7.987805,3.780488
1549416541390,-0.245422,-0.820557,-0.542419,-2.439024,-7.378049,4.451220
1549416541398,-0.250793,-0.815125,-0.544434,-2.500000,-7.012195,5.000000
1549416541413,-0.249878,-0.814026,-0.549622,-2.500000,-6.646342,5.060976
1549416541420,-0.248596,-0.813293,-0.552856,-2.743902,-5.975610,4.878049
1549416541428,-0.246338,-0.814331,-0.558167,-2.256098,-5.792683,4.817073
1549416541443,-0.243469,-0.815857,-0.560913,-1.707317,-5.975610,5.060976
1549416541450,-0.243286,-0.820312,-0.558533,-1.585366,-6.219512,5.060976
1549416541458,-0.247498,-0.820557,-0.559448,-2.743902,-6.280488,4.756098
1549416541473,-0.247925,-0.810608,-0.563721,-4.024390,-6.280488,4.512195
1549416541480,-0.249390,-0.802490,-0.571106,-4.207317,-6.219512,4.451220
1549416541488,-0.252502,-0.808594,-0.572083,-3.536585,-6.524390,4.512195
1549416541504,-0.252380,-0.815613,-0.569214,-2.987805,-6.890244,4.451220
1549416541510,-0.253906,-0.814270,-0.572693,-2.926829,-7.256098,4.390244
1549416541518,-0.257019,-0.809570,-0.564209,-3.597561,-7.500000,4.451220
1549416541533,-0.263245,-0.811096,-0.561707,-4.268293,-7.743903,4.390244
1549416541540,-0.264221,-0.810486,-0.565552,-4.268293,-7.926829,4.268293
1549416541548,-0.264709,-0.804565,-0.568848,-3.841464,-7.682927,4.268293
1549416541563,-0.266479,-0.809937,-0.566162,-3.536585,-7.743903,4.329268
1549416541570,-0.265503,-0.813293,-0.567566,-3.597561,-7.865854,4.146341
1549416541578,-0.263611,-0.809814,-0.568604,-3.597561,-8.048780,3.841464
1549416541593,-0.267456,-0.806946,-0.565063,-3.597561,-8.170732,3.719512
1549416541600,-0.273865,-0.807373,-0.563110,-3.597561,-8.353659,3.841464
1549416541608,-0.273682,-0.811035,-0.563049,-3.292683,-8.292683,3.719512
1549416541623,-0.271912,-0.812744,-0.568787,-3.170732,-7.987805,3.780488
1549416541630,-0.272400,-0.808472,-0.566467,-3.292683,-8.048780,4.329268
1549416541638,-0.275085,-0.805786,-0.562561,-3.536585,-8.231708,5.000000
1549416541653,-0.275940,-0.804932,-0.558899,-3.780488,-8.353659,5.365854
1549416541660,-0.277405,-0.799500,-0.561279,-4.268293,-8.170732,5.487805
1549416541668,-0.278076,-0.800720,-0.563538,-4.634146,-7.865854,5.243903
1549416541683,-0.277466,-0.805847,-0.570740,-4.634146,-7.560976,5.121951
1549416541690,-0.278381,-0.809204,-0.572083,-4.146341,-7.621952,5.304878
1549416541698,-0.278442,-0.810791,-0.571167,-4.024390,-7.804878,5.731708
1549416541713,-0.280823,-0.806885,-0.572571,-4.024390,-7.743903,6.036585
1549416541720,-0.283569,-0.801514,-0.571045,-4.024390,-7.926829,6.219512
1549416541728,-0.287170,-0.803894,-0.567810,-4.085366,-8.048780,6.402439
1549416541743,-0.290649,-0.802979,-0.567078,-3.963415,-7.987805,6.463415
1549416541751,-0.290039,-0.801270,-0.569702,-3.109756,-8.170732,6.890244
1549416541758,-0.291748,-0.812744,-0.572205,-1.585366,-8.353659,7.865854
1549416541773,-0.289490,-0.814880,-0.575439,-1.280488,-8.414635,8.475610
1549416541781,-0.291992,-0.808289,-0.572388,-1.707317,-8.353659,8.719512
1549416541788,-0.296875,-0.804504,-0.571655,-2.621951,-8.658537,9.268292
1549416541803,-0.300354,-0.802185,-0.572937,-3.353659,-8.841464,9.634147
1549416541811,-0.300232,-0.803772,-0.571716,-3.658537,-8.658537,9.573171
1549416541818,-0.304871,-0.800842,-0.567383,-4.329268,-8.841464,9.817074
1549416541833,-0.308289,-0.798401,-0.565063,-4.756098,-8.963415,10.000000
1549416541840,-0.308899,-0.797791,-0.560181,-4.939024,-9.024390,10.243902
1549416541848,-0.311890,-0.799622,-0.560486,-5.243903,-8.719512,10.365854
1549416541863,-0.312805,-0.797058,-0.565063,-5.853659,-8.536586,10.121951
1549416541870,-0.314636,-0.798096,-0.569580,-6.280488,-8.414635,10.304878
1549416541878,-0.315918,-0.802979,-0.571228,-5.609756,-8.414635,11.036586
1549416541893,-0.319336,-0.798035,-0.576050,-4.939024,-8.597561,11.707317
1549416541900,-0.321777,-0.795532,-0.574219,-4.390244,-8.780488,12.378049
1549416541908,-0.322815,-0.803162,-0.572754,-3.963415,-8.841464,12.987805
1549416541923,-0.322998,-0.803040,-0.570374,-4.695122,-8.475610,12.987805
1549416541930,-0.325745,-0.795959,-0.573914,-5.914634,-8.231708,13.292684
1549416541938,-0.333252,-0.791870,-0.571838,-6.829268,-8.231708,13.719513
1549416541953,-0.334351,-0.794189,-0.571777,-6.951220,-8.231708,14.390244
1549416541960,-0.336914,-0.791382,-0.567444,-6.524390,-8.109756,15.060976
1549416541968,-0.341370,-0.793152,-0.565308,-6.158537,-8.109756,16.158537
1549416541983,-0.343445,-0.798401,-0.572693,-6.463415,-7.987805,16.707317
1549416541990,-0.346008,-0.791016,-0.576416,-7.865854,-7.439024,16.646341
1549416541998,-0.354797,-0.781555,-0.568054,-8.597561,-7.195122,16.890244
1549416542013,-0.360107,-0.782837,-0.568176,-7.378049,-7.560976,18.170732
1549416542020,-0.361145,-0.768860,-0.565796,-7.195122,-7.682927,19.207317
1549416542028,-0.361572,-0.771057,-0.567505,-4.695122,-6.951220,20.000000
1549416542043,-0.361206,-0.769836,-0.573425,-4.634146,-6.707317,20.609756
1549416542050,-0.367615,-0.752258,-0.564880,-6.463415,-6.219512,19.878050
1549416542058,-0.375183,-0.727844,-0.563354,-6.463415,-5.914634,19.390244
1549416542073,-0.375671,-0.714233,-0.561707,-6.524390,-5.914634,20.243902
1549416542080,-0.380188,-0.696655,-0.551880,-8.292683,-5.121951,18.658537
1549416542088,-0.387451,-0.673584,-0.542236,-7.560976,-4.390244,17.012196
1549416542103,-0.394775,-0.655823,-0.535950,-2.682927,-3.902439,17.134148
1549416542110,-0.395386,-0.665894,-0.530823,2.987805,-2.804878,16.524391
1549416542118,-0.395752,-0.677307,-0.529053,4.878049,-1.036585,13.475610
1549416542133,-0.399109,-0.660095,-0.533936,4.451220,0.914634,10.304878
1549416542140,-0.398193,-0.642395,-0.537476,4.146341,2.804878,8.292683
1549416542147,-0.398071,-0.628113,-0.534424,3.170732,4.146341,5.365854
1549416542173,-0.397034,-0.623474,-0.533569,3.963415,5.182927,1.951220
1549416542173,-0.394104,-0.621521,-0.541138,7.378049,6.219512,-1.036585
1549416542177,-0.390137,-0.622375,-0.550110,11.707317,7.682927,-3.841464
1549416542192,-0.385986,-0.632507,-0.544922,15.609756,9.085366,-7.134147
1549416542200,-0.384827,-0.649597,-0.548523,19.085367,10.121951,-10.304878
1549416542207,-0.380005,-0.674744,-0.558105,21.951220,10.792684,-13.109756
1549416542222,-0.367859,-0.704712,-0.566101,22.682928,11.707317,-15.914635
1549416542230,-0.361450,-0.735779,-0.578674,20.609756,12.439025,-19.329269
1549416542237,-0.352051,-0.770508,-0.581055,16.463415,12.560976,-23.475611
1549416542252,-0.345215,-0.783447,-0.588074,12.743903,12.317074,-25.426830
1549416542260,-0.339294,-0.781494,-0.594055,10.914635,11.829268,-25.304878
1549416542267,-0.330383,-0.782471,-0.599365,10.365854,11.158537,-25.000000
1549416542283,-0.321167,-0.783936,-0.605591,10.365854,10.548780,-25.182928
1549416542290,-0.313599,-0.788757,-0.616516,11.341464,9.695122,-25.243902
1549416542298,-0.309387,-0.804810,-0.622009,11.768293,7.865854,-25.182928
1549416542305,-0.305603,-0.820679,-0.625366,11.585366,5.548780,-25.609756
1549416542321,-0.302551,-0.830688,-0.624878,10.426829,3.231707,-25.365854
1549416542328,-0.306580,-0.834534,-0.629333,7.926829,0.609756,-24.756098
1549416542335,-0.308472,-0.836853,-0.627441,5.000000,-2.134146,-24.329269
1549416542350,-0.310852,-0.839600,-0.630432,2.804878,-4.329268,-23.719513
1549416542358,-0.308655,-0.835449,-0.636902,0.914634,-6.646342,-22.439024
1549416542373,-0.301392,-0.830261,-0.628723,-0.304878,-8.841464,-21.158537
1549416542381,-0.296875,-0.824585,-0.614319,-1.707317,-11.158537,-20.182928
1549416542388,-0.290833,-0.828796,-0.605652,-3.841464,-13.353659,-19.268293
1549416542395,-0.283020,-0.819153,-0.606018,-5.914634,-15.426829,-18.963415
1549416542411,-0.280151,-0.800659,-0.599609,-7.560976,-16.829269,-18.414635
1549416542418,-0.285645,-0.787781,-0.594299,-9.573171,-18.353659,-17.926830
1549416542425,-0.289124,-0.785278,-0.591736,-11.097561,-19.878050,-18.475611
1549416542440,-0.289001,-0.789612,-0.584656,-11.585366,-20.853659,-19.695122
1549416542448,-0.287720,-0.785156,-0.578552,-11.463415,-21.646341,-20.548780
1549416542455,-0.291016,-0.771790,-0.570496,-10.792684,-22.682928,-20.243902
1549416542470,-0.295471,-0.765808,-0.560425,-9.573171,-23.475611,-20.304878
1549416542478,-0.296387,-0.774902,-0.555359,-8.231708,-23.536587,-20.975611
1549416542485,-0.296936,-0.785278,-0.561401,-7.195122,-23.353659,-22.317074
1549416542500,-0.300049,-0.783875,-0.557312,-6.890244,-23.780489,-23.597561
1549416542508,-0.301758,-0.788818,-0.542358,-7.195122,-24.085367,-24.207317
1549416542515,-0.301453,-0.800049,-0.531250,-8.414635,-23.719513,-24.695122
1549416542530,-0.303467,-0.813232,-0.541687,-10.000000,-23.658537,-25.121952
1549416542538,-0.295105,-0.824036,-0.560303,-11.890244,-22.865854,-25.609756
1549416542545,-0.284668,-0.831299,-0.570679,-14.085366,-21.280489,-25.487806
1549416542560,-0.285217,-0.829407,-0.571167,-15.609756,-21.158537,-24.634148
1549416542575,-0.284119,-0.815308,-0.582092,-16.768293,-21.890244,-23.353659
1549416542576,-0.271362,-0.794189,-0.589722,-17.317074,-22.134148,-21.890244
1549416542590,-0.266663,-0.776917,-0.586792,-16.890244,-22.195122,-20.914635
1549416542598,-0.271973,-0.771240,-0.585693,-16.036585,-23.414635,-21.158537
1549416542605,-0.273132,-0.765991,-0.585449,-14.695123,-24.756098,-22.926830
1549416542621,-0.277039,-0.764038,-0.573792,-12.500000,-24.756098,-24.268293
1549416542628,-0.283203,-0.773315,-0.562073,-10.060976,-24.634148,-24.878050
1549416542636,-0.287170,-0.785828,-0.560852,-7.804878,-25.000000,-25.609756
1549416542650,-0.281921,-0.792786,-0.569275,-5.487805,-25.000000,-26.097561
1549416542658,-0.281616,-0.807251,-0.565369,-4.024390,-25.182928,-26.219513
1549416542665,-0.284485,-0.827515,-0.568665,-3.292683,-26.158537,-26.219513
1549416542680,-0.286011,-0.832764,-0.576782,-3.902439,-27.012196,-26.219513
1549416542688,-0.282043,-0.829346,-0.582642,-5.609756,-27.256098,-26.219513
1549416542695,-0.282654,-0.833679,-0.586731,-7.865854,-27.682928,-26.036587
1549416542710,-0.280457,-0.838745,-0.584778,-9.756098,-28.414635,-25.853659
1549416542718,-0.280884,-0.839355,-0.581421,-10.853659,-29.207317,-25.548780
1549416542725,-0.281738,-0.825439,-0.584473,-11.829268,-30.365854,-24.939026
1549416542740,-0.282776,-0.812073,-0.582214,-12.865854,-31.219513,-24.146341
1549416542748,-0.283997,-0.805237,-0.574524,-13.475610,-32.073170,-23.902439
1549416542755,-0.288330,-0.811462,-0.570923,-13.658537,-33.536587,-24.573172
1549416542770,-0.291260,-0.828613,-0.568970,-13.780488,-35.365856,-25.853659
1549416542778,-0.291199,-0.842834,-0.571716,-14.390244,-37.073170,-26.585367
1549416542785,-0.289246,-0.843506,-0.570679,-15.914635,-38.597561,-26.280489
1549416542800,-0.291565,-0.832886,-0.558594,-17.987804,-40.060978,-25.426830
1549416542808,-0.300415,-0.816650,-0.552002,-20.121952,-41.341465,-25.182928
1549416542815,-0.304077,-0.806213,-0.558899,-22.804878,-41.890244,-25.670732
1549416542830,-0.304443,-0.802246,-0.561523,-25.548780,-41.890244,-27.256098
