timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1541874448780654,4,2,3,-1,-2,-3,-1,1
1541874448780654,0,-2,1,0,-3,-3,-2,-5
1541874448781655,4,-2,-5,-3,-7,-8,-6,-6
1541874448781655,7,3,5,0,-2,-2,-1,-5
1541874448782655,1,-2,-1,7,-2,-7,-4,-5
1541874448782655,3,0,-3,-9,-2,-3,-3,-4
1541874448783655,4,4,6,-5,-1,0,0,0
1541874448783655,0,1,-1,0,-3,-1,-3,-3
1541874448794667,-2,-2,-5,15,1,-2,1,-2
1541874448794667,-1,1,-4,-21,1,0,0,0
1541874448795664,1,2,1,9,2,2,2,-1
1541874448795664,0,-1,-3,9,-1,1,-1,-1
1541874448803671,-1,-1,0,-7,1,3,1,7
1541874448803671,-1,0,-2,2,2,2,0,-1
1541874448808678,-6,-4,-4,-3,-2,-1,-3,-4
1541874448808678,-2,-2,-3,0,1,-2,-1,2
1541874448836697,-3,-2,-2,0,0,1,0,-1
1541874448836697,-2,-2,3,5,0,-1,0,5
1541874448837698,-3,-3,-2,-12,-2,0,2,0
1541874448837698,-3,-2,-1,3,1,1,1,-1
1541874448854711,-3,-3,1,-1,2,0,-1,1
1541874448854711,-2,-3,-3,4,-1,-1,-1,-1
1541874448855712,-4,-2,-3,0,4,-1,-2,-1
1541874448855712,-2,-3,-6,0,0,0,0,0
1541874448869785,-1,0,8,2,0,-1,-2,-3
1541874448869785,-3,-2,1,1,-2,-1,-1,-2
1541874448869785,0,2,8,-1,-4,-3,-1,-2
1541874448869785,1,0,-11,2,4,1,0,1
1541874448883790,-1,0,-3,-4,-2,2,-1,-1
1541874448883790,-3,-2,-4,4,-2,-3,-2,0
1541874448892757,4,4,8,-4,0,2,3,4
1541874448892757,-2,0,0,-2,0,2,-1,-5
1541874448907815,7,3,3,-6,-2,-1,1,-1
1541874448907815,-5,-3,-1,-10,-9,-6,-4,6
1541874448962806,2,1,-10,4,2,-6,-3,6
1541874448962806,8,2,12,-13,-3,4,5,11
1541874448963816,-6,2,0,-4,-2,-1,-4,-27
1541874448963816,-5,-5,10,-3,-2,1,-2,-4
1541874448981866,-1,-2,-21,9,5,2,2,-1
1541874448981866,0,0,0,6,4,0,0,3
1541874449013890,1,-1,-6,0,-1,-2,1,22
1541874449013890,-1,0,-1,-3,-2,-1,-1,-6
1541874449014853,-3,-13,-4,1,-2,0,-4,-2
1541874449014853,-6,-3,-6,-1,3,0,0,4
1541874449217002,5,1,15,-6,-2,3,1,-1
1541874449217002,-5,1,5,0,-2,-3,1,0
1541874449217998,2,-2,-1,1,0,-5,-7,-4
1541874449217998,3,4,0,4,1,0,0,4
1541874449457199,2,2,11,1,2,0,1,-2
1541874449457199,1,0,3,0,0,1,3,15
1541874449459198,-4,0,-9,-1,0,-1,-2,-1
1541874449459198,-2,-6,-6,-2,0,-1,-2,-6
1541874449479222,15,-16,0,-1,4,6,8,21
1541874449479222,-1,22,27,13,0,0,0,-3
1541874449480202,-8,28,-17,-11,-4,-3,-4,-2
1541874449480202,-1,-9,6,4,-2,-2,-1,-2
1541874449499217,2,0,-1,-2,-2,-1,-6,-6
1541874449499217,-6,0,-3,-1,-2,-3,-5,-5
1541874449516286,0,2,13,0,-3,0,-1,2
1541874449516286,3,-5,-15,-3,-2,-1,5,36
1541874449518272,-4,-3,-5,-3,-4,-4,-10,-13
1541874449518272,0,-2,2,-1,-1,0,4,20
