timestamp,x,y,z
1541872950161359,-1.5,-1.0625,0.3125
1541872950186396,-2,-2.1875,0.8125
1541872950206397,-1.6875,-2.3125,0.1875
1541872950221409,-1.3125,-1.9375,-1.0625
1541872950245429,-0.75,-1.5,-1.25
1541872950266460,-0.8125,-1.4375,-0.8125
1541872950323503,-0.8125,-1.125,-1.25
1541872950324495,-1.5625,-0.9375,-1.125
1541872950325505,-1.5,-0.375,-1.375
1541872950338517,-1.5625,-0.3125,-0.6875
1541872950356535,-1,-0.25,-0.9375
1541872950379558,-0.375,-0.5,-0.1875
1541872950398569,0.0625,-0.6875,-0.375
1541872950433640,0.125,-1,-0.375
1541872950439608,0,-1.6875,-0.625
1541872950454620,-0.125,-2.1875,-0.25
1541872950485641,-0.375,-3,0.25
1541872950491651,-0.625,-3.125,-0.0625
1541872950513669,-0.3125,-2.5625,-0.0625
1541872950536687,-1.1875,-2.625,0.5
1541872950551701,-0.3125,-2.375,0.5625
1541872950573718,-2.5,-2.375,0.75
1541872950596738,-1.0625,-2.0625,0.375
1541872950611750,-1.1875,-2,-0.0625
1541872950633803,-1.6875,-1.9375,0.25
1541872950656786,-1.75,-2.25,-0.25
1541872950671795,-0.9375,-2.8125,0.4375
1541872950693817,-1.625,-3.5,1.375
1541872950716831,-3.0625,-3.875,1
1541872950731848,-2.6875,-3.5625,0.375
1541872950753867,-2.0625,-3.75,0.1875
1541872950776885,-1.375,-4.125,-0.4375
1541872950791894,-0.9375,-4.3125,-0.75
1541872950813916,-1.8125,-4.5,-0.25
1541872950836919,-1.0625,-4.6875,-1.25
1541872950851957,-0.4375,-4.5625,-2.0625
1541872950873965,-1.1875,-5,-2.4375
1541872950895984,-2.5,-5.4375,-2.875
1541872950910995,-2.1875,-6.625,-1.25
1541872950934051,-1.8125,-6.9375,-1.1875
1541872950956034,-0.9375,-7.3125,-2.125
1541872950973047,0.5,-8.4375,-1.1875
1541872950994064,-0.125,-9.375,-0.625
1541872951016082,0.125,-10.375,0.4375
1541872951031078,1,-10.625,0.6875
1541872951054098,-0.125,-9.8125,0.5625
1541872951076115,-0.375,-8.3125,0.25
1541872951091144,1.625,-8.6875,-0.3125
1541872951114147,2.375,-9.4375,-0.125
1541872951136218,1,-9.9375,-0.125
1541872951151194,0.6875,-10.5625,0.0625
1541872951174194,0.3125,-10.625,-0.75
1541872951196232,2.4375,-11.5,-0.9375
1541872951211245,4.8125,-12.6875,-1.0625
1541872951234263,4.8125,-13.125,-0.3125
1541872951256280,5.875,-12.8125,-0.3125
1541872951271288,6.75,-12.8125,-0.375
1541872951294313,7.625,-13.1875,-0.125
1541872951316313,10.4375,-13.9375,0.375
1541872951331338,13.5,-14.6875,1.875
1541872951354398,17.875,-14.5625,2.25
1541872951376361,18.5625,-13.9375,2.125
1541872951391375,17.375,-13,1.1875
1541872951415392,16.75,-12.3125,0
1541872951436430,17.9375,-11.25,-1.1875
